Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
192607,1.16,4.03,2.3,-2.19,2.21,1.31,0.69,2.45,4.85,0.21
192608,5,0.28,2.11,4.41,2.61,1.08,-0.03,6.11,-2,4.53
192609,0.03,-3.34,0.53,-3.51,0.86,0.22,-0.71,0.8,2.06,-0.53
192610,-2.55,-9.46,-5.11,2.67,-5.72,-0.99,-3.28,0.13,-2.98,-2.51
192611,6,-0.38,1.69,1.59,1.32,1.48,1.35,7.2,5.71,0.85
192612,0.38,4.8,3.39,4.92,1.46,1.62,2.81,0.42,1.72,1.23
192701,-1.47,-2.27,0.78,3.68,0.44,0.13,-2.29,6.13,-0.44,5.16
192702,3.42,6.06,6.38,4.24,8.33,6.98,5.1,2.47,4.88,7.81
192703,-3.24,-2.36,-1.24,-9.15,-1.58,1.35,0.25,-0.2,2.19,0.04
192704,1.07,-1.17,1.57,-3.93,2.04,0.58,3.33,5.8,1.69,1.44
192705,7.18,4.15,6.24,7.43,3.14,1.6,2.11,4.79,9.29,8.42
192706,-2.09,-3.97,-3.57,-0.27,1.57,-2.63,-1.84,3.64,-3.3,-1.25
192707,6.49,6.21,7.82,2.2,7.44,4.36,5.96,8.59,4.18,4.56
192708,1.19,1.74,0.73,-1.96,-1.61,1.31,2.97,0.15,6.17,-1.69
192709,2.91,-0.77,1.42,3.97,4.28,5.2,3.75,6,9.42,3.98
192710,-1.71,-3.69,-4.63,-4.5,-3.83,-2.33,-3.7,5.15,-4.68,-4.51
192711,7.42,11.38,14.47,9.83,14.85,3.66,8.7,5.05,5.96,7.67
192712,3.53,6.59,4.86,0.6,1,3.42,1.83,-1.42,1.8,1.98
192801,4.24,-1.94,5.22,-0.48,1.8,-1.85,3.89,1.45,8.76,3.13
192802,-2.37,-2.45,-2.69,-2.02,0.08,-0.38,-1.46,-1.89,-1.63,-3
192803,5.43,14.9,6.48,6.21,13.47,3.2,6.16,8.96,4.95,6.14
